fpts,player,team,bye,pos,adp
29.7,DeWayne McBride,MIN,13,RB,262
42.9,Deon Jackson,IND,11,RB,307.5
41.8,Melvin Gordon III,BAL,13,RB,230
110.9,Anders Carlson,GB,6,K,264
104.5,Cade Otton,TB,5,TE,275.3
0,Israel Abanikanda,NYJ,7,RB,289.3
106.7,Marvin Jones Jr.,DET,9,WR,265
51.6,Zack Moss,IND,11,RB,235
85.3,Trey McBride,ARI,14,TE,237
111.8,Brandon Aubrey,DAL,7,K,237
80.9,Michael Wilson,ARI,14,WR,267.5
